,run,score,decision,acrobatie
0,6,15,"[1, 1, 2, 4, 3, 4]",False
1,5,11,"[1, 1, 3, 1, 1, 4]",False
2,5,31,"[6, 6, 6, 5, 3, 5]",False
3,4,11,"[1, 1, 1, 1, 5, 2]",False
4,6,32,"[6, 6, 4, 5, 6, 5]",False
5,3,33,"[6, 6, 6, 6, 4, 5]",False
6,4,10,"[1, 1, 1, 3, 2, 2]",False
7,5,11,"[1, 1, 2, 1, 1, 5]",False
8,5,10,"[1, 1, 2, 3, 1, 2]",False
9,5,30,"[6, 6, 5, 6, 5, 2]",False
10,6,21,"[2, 5, 5, 3, 4, 2]",True
11,2,31,"[6, 6, 4, 5, 5, 5]",False
12,5,9,"[1, 1, 1, 1, 1, 4]",False
13,5,32,"[6, 6, 4, 6, 5, 5]",False
14,5,32,"[6, 6, 6, 5, 3, 6]",False
15,5,30,"[6, 6, 5, 5, 4, 4]",False
16,6,13,"[1, 1, 1, 2, 2, 6]",False
17,4,7,"[1, 1, 1, 1, 1, 2]",False
18,6,29,"[5, 5, 5, 6, 6, 2]",False
19,6,22,"[6, 5, 4, 4, 2, 1]",False
20,5,14,"[1, 1, 1, 4, 5, 2]",False
21,4,30,"[6, 6, 6, 6, 3, 3]",False
22,6,28,"[6, 6, 5, 5, 3, 3]",False
23,6,32,"[6, 5, 6, 6, 4, 5]",False
24,4,32,"[6, 5, 6, 6, 5, 4]",False
25,5,12,"[1, 1, 1, 4, 2, 3]",False
26,4,33,"[6, 6, 6, 6, 5, 4]",False
27,5,12,"[1, 1, 1, 3, 2, 4]",False
28,4,26,"[6, 6, 6, 2, 3, 3]",False
29,4,7,"[1, 1, 1, 1, 2, 1]",False
30,6,16,"[1, 2, 1, 2, 4, 6]",False
31,3,7,"[1, 1, 1, 1, 1, 2]",False
32,6,28,"[5, 4, 6, 6, 4, 3]",False
33,5,9,"[1, 3, 1, 1, 1, 2]",False
34,5,34,"[6, 6, 6, 5, 5, 6]",False
35,5,16,"[1, 1, 3, 2, 5, 4]",False
36,3,31,"[6, 6, 6, 6, 5, 2]",False
37,4,10,"[1, 1, 1, 1, 1, 5]",False
38,5,31,"[6, 6, 5, 6, 4, 4]",False
39,5,14,"[1, 1, 2, 2, 4, 4]",False
40,4,10,"[1, 1, 1, 3, 2, 2]",False
41,5,10,"[1, 1, 1, 3, 2, 2]",False
42,5,29,"[6, 6, 5, 2, 6, 4]",False
43,5,12,"[1, 1, 4, 2, 3, 1]",False
44,6,16,"[2, 1, 1, 2, 4, 6]",False
45,4,12,"[1, 1, 2, 1, 1, 6]",False
46,4,27,"[6, 6, 6, 6, 2, 1]",False
47,3,33,"[6, 6, 6, 6, 4, 5]",False
48,5,9,"[1, 2, 2, 1, 1, 2]",False
49,6,27,"[6, 5, 6, 5, 4, 1]",False
50,3,32,"[6, 6, 6, 4, 5, 5]",False
51,5,12,"[1, 1, 2, 2, 1, 5]",False
52,5,28,"[6, 6, 4, 3, 4, 5]",False
53,6,13,"[1, 4, 3, 2, 1, 2]",False
54,4,30,"[6, 6, 6, 6, 5, 1]",False
55,3,34,"[6, 6, 6, 6, 6, 4]",False
56,5,11,"[1, 1, 1, 2, 4, 2]",False
57,6,14,"[1, 3, 4, 1, 4, 1]",False
58,5,33,"[6, 6, 4, 6, 6, 5]",False
59,6,31,"[5, 6, 3, 6, 5, 6]",False
60,4,29,"[6, 6, 6, 6, 3, 2]",False
61,5,28,"[6, 6, 4, 6, 4, 2]",False
62,2,11,"[1, 1, 2, 2, 2, 3]",False
63,6,9,"[2, 2, 1, 1, 1, 2]",False
64,4,30,"[6, 6, 6, 6, 3, 3]",False
65,6,32,"[5, 6, 5, 5, 5, 6]",False
66,6,14,"[2, 2, 1, 3, 5, 1]",False
67,3,10,"[1, 1, 1, 1, 2, 4]",False
68,6,29,"[6, 6, 5, 5, 5, 2]",False
69,6,15,"[1, 1, 2, 2, 3, 6]",False
70,5,12,"[1, 1, 3, 4, 1, 2]",False
71,6,27,"[6, 5, 5, 5, 5, 1]",False
72,6,27,"[6, 4, 6, 6, 4, 1]",False
73,6,15,"[2, 1, 3, 2, 2, 5]",False
74,5,9,"[1, 1, 1, 1, 1, 4]",False
75,4,33,"[6, 6, 5, 4, 6, 6]",False
76,4,9,"[1, 1, 1, 1, 3, 2]",False
77,5,12,"[1, 1, 1, 1, 2, 6]",False
78,6,14,"[1, 1, 3, 2, 2, 5]",False
79,5,24,"[6, 6, 4, 5, 1, 2]",False
80,6,14,"[1, 1, 3, 3, 2, 4]",False
81,6,9,"[1, 2, 1, 2, 2, 1]",False
82,5,14,"[1, 1, 1, 2, 5, 4]",False
83,5,11,"[2, 1, 1, 3, 1, 3]",False
84,4,10,"[1, 1, 3, 1, 2, 2]",False
85,5,12,"[1, 1, 2, 2, 3, 3]",False
86,6,15,"[1, 2, 5, 3, 3, 1]",False
87,5,12,"[1, 1, 1, 3, 5, 1]",False
88,6,15,"[2, 1, 2, 2, 2, 6]",False
89,4,33,"[6, 6, 6, 6, 3, 6]",False
90,5,31,"[6, 6, 5, 5, 6, 3]",False
91,4,33,"[6, 6, 6, 6, 5, 4]",False
92,4,10,"[1, 1, 2, 1, 1, 4]",False
93,5,10,"[1, 1, 2, 2, 1, 3]",False
94,5,31,"[6, 6, 5, 6, 6, 2]",False
95,4,28,"[6, 6, 6, 2, 6, 2]",False
96,4,9,"[1, 1, 1, 1, 2, 3]",False
97,5,31,"[6, 6, 6, 6, 6, 1]",False
98,6,12,"[1, 3, 3, 2, 1, 2]",False
99,4,34,"[6, 6, 6, 6, 5, 5]",False
100,6,15,"[1, 1, 1, 2, 5, 5]",False
101,3,34,"[6, 6, 6, 5, 6, 5]",False
102,5,26,"[6, 6, 6, 4, 1, 3]",False
103,6,13,"[1, 2, 1, 1, 4, 4]",False
104,5,28,"[6, 6, 6, 5, 4, 1]",False
105,4,6,"[1, 1, 1, 1, 1, 1]",False
106,4,8,"[1, 1, 1, 1, 1, 3]",False
107,6,10,"[1, 2, 3, 1, 1, 2]",False
108,6,25,"[6, 5, 5, 5, 3, 1]",False
109,6,31,"[5, 6, 5, 5, 5, 5]",False
110,5,15,"[1, 1, 2, 3, 4, 4]",False
111,5,29,"[6, 6, 4, 4, 5, 4]",False
112,4,28,"[6, 6, 6, 4, 5, 1]",False
113,6,27,"[6, 5, 5, 5, 4, 2]",False
114,4,34,"[6, 6, 6, 6, 5, 5]",False
115,6,14,"[1, 1, 1, 3, 2, 6]",False
116,6,12,"[1, 2, 1, 2, 1, 5]",False
117,3,33,"[6, 6, 6, 6, 5, 4]",False
118,5,11,"[1, 1, 1, 2, 2, 4]",False
119,4,30,"[6, 6, 6, 5, 6, 1]",False
120,4,35,"[6, 6, 6, 5, 6, 6]",False
121,6,14,"[1, 3, 2, 3, 2, 3]",False
122,6,13,"[1, 1, 2, 4, 1, 4]",False
123,2,31,"[5, 6, 6, 5, 4, 5]",False
124,5,32,"[6, 6, 5, 6, 4, 5]",False
125,4,34,"[6, 6, 5, 6, 6, 5]",False
126,4,35,"[6, 6, 6, 6, 5, 6]",False
127,5,13,"[1, 1, 4, 1, 1, 5]",False
128,3,10,"[1, 1, 1, 1, 1, 5]",False
129,4,9,"[1, 1, 1, 1, 2, 3]",False
130,5,8,"[2, 1, 1, 2, 1, 1]",False
131,5,9,"[2, 1, 1, 1, 3, 1]",False
132,5,33,"[6, 6, 6, 5, 5, 5]",False
133,4,11,"[1, 1, 1, 1, 4, 3]",False
134,6,11,"[1, 2, 1, 1, 2, 4]",False
135,5,32,"[6, 4, 4, 6, 6, 6]",False
136,5,33,"[6, 6, 6, 5, 4, 6]",False
137,5,16,"[1, 1, 3, 2, 3, 6]",False
138,5,34,"[6, 6, 6, 5, 6, 5]",False
139,4,11,"[1, 1, 1, 2, 4, 2]",False
140,4,14,"[1, 1, 1, 2, 5, 4]",False
141,4,8,"[1, 1, 1, 1, 1, 3]",False
142,5,32,"[6, 6, 5, 5, 5, 5]",False
143,5,8,"[1, 2, 1, 2, 1, 1]",False
144,5,11,"[1, 1, 3, 1, 3, 2]",False
145,5,29,"[6, 6, 5, 6, 3, 3]",False
146,4,8,"[1, 1, 2, 1, 1, 2]",False
147,4,29,"[6, 6, 6, 6, 3, 2]",False
148,5,29,"[6, 6, 5, 3, 6, 3]",False
149,6,16,"[1, 1, 3, 2, 4, 5]",False
150,5,30,"[6, 6, 6, 6, 2, 4]",False
151,5,9,"[1, 1, 2, 1, 3, 1]",False
152,4,10,"[1, 1, 1, 1, 1, 5]",False
153,3,7,"[1, 1, 1, 1, 1, 2]",False
154,5,28,"[6, 5, 6, 6, 2, 3]",False
155,4,30,"[6, 6, 6, 3, 6, 3]",False
156,4,36,"[6, 6, 6, 6, 6, 6]",False
157,5,32,"[6, 6, 6, 6, 2, 6]",False
158,3,30,"[6, 6, 6, 6, 3, 3]",False
159,4,33,"[6, 6, 6, 6, 6, 3]",False
160,5,26,"[6, 6, 4, 6, 2, 2]",False
