,run,score,decision,acrobatie
0,4,27,"[6, 6, 6, 3, 4, 2]",False
1,6,13,"[2, 2, 1, 2, 4, 2]",False
2,3,13,"[1, 1, 2, 2, 1, 6]",False
3,2,35,"[6, 6, 6, 6, 6, 5]",False
4,4,28,"[6, 6, 5, 4, 5, 2]",False
5,4,11,"[1, 1, 2, 1, 1, 5]",False
6,4,27,"[5, 6, 6, 6, 3, 1]",False
7,4,8,"[1, 1, 1, 3, 1, 1]",False
8,4,27,"[6, 5, 5, 4, 5, 2]",False
9,1,13,"[1, 1, 3, 3, 3, 2]",False
10,5,30,"[5, 6, 6, 5, 3, 5]",False
11,4,10,"[1, 1, 1, 1, 4, 2]",False
12,5,27,"[6, 5, 5, 5, 5, 1]",False
13,5,11,"[1, 2, 2, 3, 1, 2]",False
14,5,34,"[5, 6, 6, 6, 6, 5]",False
15,6,10,"[2, 2, 2, 1, 1, 2]",False
16,1,31,"[6, 6, 6, 4, 4, 5]",False
17,5,32,"[6, 6, 6, 5, 6, 3]",False
18,5,28,"[6, 6, 5, 3, 5, 3]",False
19,5,12,"[1, 2, 1, 4, 3, 1]",False
20,6,27,"[6, 4, 5, 2, 5, 5]",False
21,5,33,"[6, 5, 6, 4, 6, 6]",False
22,4,34,"[6, 6, 6, 5, 6, 5]",False
23,3,31,"[6, 6, 5, 5, 5, 4]",False
24,5,11,"[1, 2, 3, 1, 1, 3]",False
25,4,13,"[1, 1, 2, 1, 4, 4]",False
26,6,29,"[6, 6, 4, 5, 5, 3]",False
27,5,9,"[1, 2, 1, 1, 1, 3]",False
28,4,31,"[6, 5, 6, 6, 2, 6]",False
29,4,29,"[6, 5, 5, 6, 6, 1]",False
30,4,35,"[6, 6, 6, 6, 6, 5]",False
31,5,30,"[6, 6, 4, 4, 6, 4]",False
32,5,28,"[6, 5, 5, 4, 2, 6]",False
33,5,32,"[5, 5, 6, 6, 5, 5]",False
34,5,11,"[1, 1, 1, 1, 2, 5]",False
